timestamp,q[0],q[1],q[2],q[3]
675046918,0.6638383,-0.13416648,0.114280954,0.7268136
675098913,0.66442263,-0.1335697,0.11461061,0.7263375
675150918,0.6647242,-0.13497923,0.11630877,0.7255307
675202916,0.66452044,-0.13585751,0.11837544,0.725219
675254918,0.6644389,-0.13760027,0.11986877,0.7247197
675310914,0.6637769,-0.14050382,0.123266496,0.7241992
675362912,0.6633201,-0.14254098,0.12525167,0.7238788
675414915,0.66237324,-0.14518932,0.12824199,0.72369593
675466917,0.66175854,-0.1474866,0.13003322,0.7234741
675518911,0.6606931,-0.15077682,0.13324624,0.72318494
675570948,0.65974534,-0.15386459,0.13589272,0.72290736
675622915,0.6584445,-0.15798609,0.13953799,0.72250986
675674910,0.65755475,-0.15938017,0.14107564,0.7227153
675727842,0.6564472,-0.16266148,0.14362802,0.7224884
675779840,0.65562105,-0.16385064,0.14430821,0.7228342
675831823,0.65488565,-0.1648962,0.14498664,0.72312725
675883833,0.6541674,-0.16513883,0.14500518,0.72371805
675935715,0.653586,-0.16513291,0.1447639,0.72429276
675987746,0.6531049,-0.16465399,0.14424102,0.72493976
676039733,0.6526479,-0.16432773,0.14371915,0.7255288
676091719,0.65278167,-0.1635933,0.14258596,0.72579795
676143712,0.65301025,-0.16220318,0.14176847,0.72606444
676195718,0.6534942,-0.16146928,0.14079812,0.72598135
676247720,0.6543294,-0.16032551,0.13938326,0.7257556
676299718,0.6545311,-0.15954745,0.14097922,0.7254368
676351715,0.6555457,-0.15896897,0.14152336,0.7245411
676403715,0.65666306,-0.1579486,0.14174886,0.7237079
676455727,0.6576544,-0.15750967,0.1427121,0.7227134
676511733,0.65874475,-0.1576485,0.14389096,0.72145534
676563709,0.6600526,-0.15750451,0.14416301,0.72023606
676615710,0.6603786,-0.16118719,0.14880027,0.71817636
676668624,0.6602689,-0.16594125,0.15458082,0.7159702
676720637,0.6591191,-0.17519797,0.16402961,0.71271455
676772627,0.6577262,-0.18429945,0.17317426,0.7095355
676824621,0.6569954,-0.19060253,0.17899704,0.7070982
676876513,0.6561285,-0.1963472,0.18487118,0.70481616
676928561,0.65580875,-0.19985805,0.18812694,0.7032639
676980519,0.6558125,-0.20309839,0.19012393,0.7017934
677036511,0.65615845,-0.20427746,0.1905577,0.70100975
677088526,0.6563496,-0.20507362,0.19106784,0.70045924
677140518,0.6572617,-0.20529458,0.19015981,0.699786
677192533,0.6578919,-0.20518577,0.18944606,0.6994192
677244528,0.6589642,-0.20458725,0.1878555,0.69901407
677296517,0.66015106,-0.20383751,0.18624526,0.6985439
677348519,0.66165,-0.20156069,0.18366742,0.6984689
677400515,0.6633496,-0.19997215,0.18172027,0.6978225
677456515,0.66485167,-0.1989671,0.18036145,0.6970324
677508514,0.66623956,-0.19816266,0.17977211,0.696088
677560513,0.66809916,-0.19612102,0.17770204,0.6954151
677614131,0.6694466,-0.194893,0.17671454,0.6947158
677666120,0.67052376,-0.19415005,0.17638522,0.6939683
677718170,0.67127645,-0.19381118,0.1755313,0.69355166
677770119,0.67192906,-0.193162,0.17515609,0.6931956
677822128,0.67259634,-0.19462639,0.17496184,0.69218725
677874120,0.6726662,-0.19534943,0.17638484,0.69155425
677926134,0.6728257,-0.1970212,0.17804785,0.6904979
677978118,0.67263305,-0.19882843,0.17947613,0.68979746
678034129,0.6724129,-0.20052099,0.18196651,0.68886894
678086122,0.6726529,-0.20111655,0.18278581,0.6882439
678138130,0.67238253,-0.20242743,0.18530928,0.68744844
678190131,0.6722872,-0.2025206,0.18580295,0.687381
678242136,0.67203146,-0.20394771,0.18695821,0.68689567
678295024,0.6720202,-0.20339198,0.18637154,0.6872308
678347024,0.67177296,-0.20324057,0.18631582,0.6875325
678399026,0.67149496,-0.20322007,0.185707,0.68797463
678451039,0.6710337,-0.2039986,0.1856107,0.68822026
678503026,0.6708284,-0.2042108,0.18492411,0.6885422
678554916,0.67028797,-0.2043166,0.18450008,0.6891506
678606910,0.67016083,-0.20421793,0.18378496,0.6894945
678658911,0.6696039,-0.20446171,0.18437414,0.6898059
678710955,0.6691465,-0.20477319,0.18457441,0.6901038
678762921,0.66922075,-0.20387028,0.18392186,0.69047326
678814918,0.66858214,-0.20409139,0.1848945,0.6907667
678866914,0.668495,-0.20428738,0.18553267,0.6906221
678922913,0.6687096,-0.20253147,0.18473208,0.69114584
678974910,0.6682668,-0.20328929,0.18643004,0.6908957
679026917,0.6683569,-0.20279619,0.18629588,0.6909897
679078917,0.66802233,-0.20329484,0.18748535,0.6908449
679130915,0.6674083,-0.20420001,0.18901852,0.69075364
679182928,0.6671255,-0.20494698,0.19048879,0.69040155
679235833,0.66640633,-0.20621428,0.19212544,0.6902653
679287838,0.6658085,-0.20791423,0.19438013,0.6897008
679339839,0.6650647,-0.20972739,0.19602835,0.6894029
679391824,0.6648581,-0.21149917,0.19704112,0.6887719
679443847,0.6646976,-0.21253145,0.19808102,0.6883106
679495714,0.6644813,-0.21307123,0.19822146,0.6883121
679547716,0.6645058,-0.21424213,0.19805576,0.6879727
679599718,0.6639196,-0.21627305,0.20011191,0.68730783
679651715,0.66276574,-0.22055279,0.20333815,0.68611354
679703727,0.6615521,-0.22431943,0.20757851,0.68479264
679755713,0.65973943,-0.23028947,0.21224116,0.6831284
679807713,0.6580637,-0.2350999,0.2169104,0.6816379
679859720,0.6569133,-0.23904319,0.22031592,0.68028253
679911715,0.6557599,-0.24132541,0.2218895,0.680078
679963715,0.65558267,-0.24254851,0.22221917,0.6797061
680015715,0.6552346,-0.2434703,0.22287083,0.6794987
680067719,0.6548617,-0.24448845,0.22326225,0.6793641
680123717,0.65417135,-0.24574164,0.22420916,0.6792652
680172628,0.65363884,-0.2465024,0.22469206,0.67934257
680228627,0.65305454,-0.24759148,0.2254689,0.6792511
680280636,0.6526526,-0.2479582,0.22518106,0.679599
680332625,0.6517249,-0.24972375,0.22668879,0.67934155
680384512,0.6511983,-0.2505451,0.22733562,0.679328
680436515,0.6505388,-0.25201932,0.22870345,0.6789554
680488519,0.64999586,-0.25335294,0.22927181,0.67878735
680540515,0.6501089,-0.2539376,0.23023993,0.6781326
680592521,0.64907736,-0.25495553,0.23178835,0.6782112
680648519,0.6485483,-0.25615185,0.23396449,0.677519
680700511,0.64841354,-0.25489438,0.23389344,0.6781465
680752512,0.6474018,-0.2565711,0.23672257,0.67749876
680804512,0.6471458,-0.2553303,0.23628485,0.67836446
680856516,0.6465087,-0.25713646,0.23777172,0.6777699
680908512,0.645627,-0.25875232,0.24057275,0.6770065
680960517,0.64434236,-0.26120126,0.24318194,0.67635757
681012515,0.64376354,-0.26224005,0.24466996,0.6759699
681068517,0.64267784,-0.2629514,0.24617812,0.6761791
681117428,0.64184475,-0.26390123,0.2474914,0.67612094
681173426,0.640959,-0.2647723,0.24821804,0.67635417
681225425,0.64073324,-0.26494905,0.24898832,0.67621577
681277427,0.64037573,-0.26548135,0.24856438,0.67650163
681329318,0.6403253,-0.2656644,0.24864073,0.6764494
681381317,0.63993025,-0.2656493,0.24939957,0.6765498
681433315,0.64007616,-0.2662247,0.24841826,0.6765466
681485352,0.64038056,-0.26579723,0.24874856,0.6763053
681537337,0.6398451,-0.2677765,0.24979,0.67564714
681593313,0.6400079,-0.26898548,0.25106573,0.6745389
681645320,0.63916636,-0.27142292,0.25383928,0.67332137
681697328,0.6393402,-0.27277148,0.25597408,0.6718014
681749315,0.639319,-0.27424318,0.2582548,0.67034805
681801324,0.640074,-0.27493128,0.2590419,0.6690407
681853315,0.6404723,-0.2762717,0.26039112,0.667582
681905360,0.64105344,-0.27813086,0.2620247,0.66561013
681957312,0.6415462,-0.27956185,0.2631642,0.6640846
682013318,0.6416014,-0.28058106,0.26469937,0.6629904
682062929,0.6412999,-0.28220952,0.26587582,0.66211957
682114916,0.6409264,-0.28304562,0.2672405,0.6615747
682170915,0.63983625,-0.2848265,0.26844832,0.66137654
682222926,0.6385013,-0.28792402,0.26997602,0.6607033
682274912,0.6373433,-0.2898448,0.27048936,0.66077155
682326914,0.63655925,-0.2907355,0.2698453,0.6613991
682378910,0.6353623,-0.29174042,0.26996315,0.66205907
682430931,0.6337694,-0.29314113,0.27042514,0.6627782
682482914,0.63248974,-0.2937596,0.2696364,0.66404694
682534915,0.6315599,-0.29501113,0.2689541,0.66465354
682586911,0.630018,-0.29592597,0.26893234,0.6657182
682638914,0.62835634,-0.29703292,0.26939085,0.6666096
682690920,0.6278752,-0.29670966,0.26849306,0.6675685
682743831,0.6261529,-0.29776403,0.2694956,0.66831225
682795826,0.624347,-0.29931268,0.2710747,0.6686714
682847837,0.62297463,-0.30075425,0.2723644,0.6687803
682899844,0.62072325,-0.30349898,0.2739613,0.6689815
682951839,0.6186441,-0.3059273,0.27703714,0.6685346
683003711,0.6157038,-0.30951598,0.2795672,0.6685439
683055712,0.6139364,-0.31050062,0.2807323,0.66922414
683107713,0.61226326,-0.31117812,0.28192243,0.6699415
683159730,0.61053926,-0.31259924,0.28193533,0.67084724
683211743,0.6089379,-0.31425363,0.28353143,0.6708571
683263718,0.60654986,-0.31710178,0.2857296,0.67074764
683315727,0.6049946,-0.3183752,0.28753763,0.67077637
683371715,0.60375214,-0.31934702,0.2892592,0.6706937
683423732,0.6032154,-0.3205601,0.28996018,0.6702951
683475718,0.6032193,-0.32094666,0.29097235,0.6696678
683527715,0.60365367,-0.32092223,0.29025882,0.6695976
683579712,0.60483325,-0.31921297,0.28972584,0.66958106
683631716,0.6056891,-0.3182683,0.2893996,0.6693982
683684620,0.6063919,-0.3187166,0.2905161,0.6680637
683736628,0.607991,-0.31751823,0.29001635,0.6673978
683788630,0.60879844,-0.31732604,0.2905917,0.6665021
683840655,0.60969603,-0.3180681,0.29044837,0.6653896
683896517,0.61068803,-0.3188378,0.2916829,0.6635689
683948514,0.61078644,-0.3205391,0.29260245,0.66225266
684000519,0.61161697,-0.32167292,0.29318538,0.66067666
684052542,0.613399,-0.32117996,0.29231092,0.65965104
684104564,0.6135031,-0.3228523,0.29313785,0.65836966
684156517,0.61410505,-0.32311833,0.29362315,0.65746105
684208514,0.61424065,-0.3239592,0.29440615,0.65656984
684260513,0.61441016,-0.32469034,0.2941816,0.65615064
684316541,0.6135119,-0.3282563,0.29719177,0.6538562
684368511,0.61258,-0.33078343,0.29854333,0.65284
684420512,0.61180985,-0.33254042,0.29981023,0.6520885
684472512,0.6109576,-0.3335046,0.3006341,0.65201586
684524517,0.6105424,-0.3343324,0.30025783,0.6521542
684576516,0.60920435,-0.3348043,0.30132735,0.65266997
684629424,0.60780907,-0.33571443,0.30126134,0.6535332
684681425,0.6062854,-0.33750087,0.30284017,0.6532987
684733451,0.60488755,-0.33760557,0.30261183,0.65464467
684789449,0.6041122,-0.33814794,0.3020795,0.6553262
684841321,0.6029208,-0.33880582,0.30203497,0.65610373
684893356,0.6014774,-0.34044173,0.30396023,0.65569246
684945316,0.59944415,-0.34238642,0.3058075,0.6556829
684997326,0.5973034,-0.34557196,0.30828673,0.65480375
685049328,0.5961255,-0.34595653,0.30993998,0.65489364
685101315,0.5950853,-0.34751925,0.31083238,0.65458924
685153352,0.59549415,-0.34619647,0.3107266,0.6549685
685205316,0.59579515,-0.34513107,0.3098351,0.655679
685261325,0.59609526,-0.34503263,0.3101479,0.6553101
685313317,0.595841,-0.34550086,0.31058612,0.655087
685365311,0.5957731,-0.34602013,0.3117546,0.6543192
685417310,0.5951627,-0.34662488,0.3137152,0.65361714
685469319,0.59384453,-0.34809265,0.31509298,0.6533733
685521321,0.5940428,-0.3472494,0.31435773,0.65399563
685574913,0.5940928,-0.34648046,0.3132826,0.65487343
685626913,0.59463507,-0.34399474,0.3113345,0.65661836
